province_region,NOC code,Occupational Group,2016,2017,2018,2019,2020,2021,2022,2023
Canada,1225,Purchasing agents and officers,65,51,42,31,35,28,114,131
Canada,1226,Conference and event planners,14,18,26,33,21,9,36,63
Canada,1227,Court officers and justices of the peace,0,0,0,0,0,0,0,1
Canada,1228,"Employment insurance, immigration, border services and revenue officers",0,0,0,0,0,0,0,0
Canada,1241,Administrative assistants,87,183,287,735,891,750,"2,122","3,337"
Canada,1242,Legal administrative assistants,14,11,6,21,26,24,74,82
Canada,1243,Medical administrative assistants,11,14,21,36,55,55,111,154
Canada,1251,"Court reporters, medical transcriptionists and related occupations",0,0,0,0,0,0,0,0
Canada,1252,Health information management occupations,0,1,0,0,0,1,2,3
Canada,1253,Records management technicians,0,1,2,1,2,0,4,5
Canada,1254,Statistical officers and related research support occupations,0,0,1,1,0,0,2,6
Canada,1311,Accounting technicians and bookkeepers,140,159,172,375,439,371,"1,170","1,820"
Canada,1312,Insurance adjusters and claims examiners,1,1,0,0,3,0,2,7
Canada,1313,Insurance underwriters,0,1,3,0,0,0,7,3
Canada,1314,"Assessors, valuators and appraisers",0,0,0,1,1,2,2,2
Canada,1315,"Customs, ship and other brokers",2,2,2,1,1,1,2,4
Canada,1411,General office support workers,6,0,1,6,4,4,24,80
Canada,1414,Receptionists,0,0,1,8,3,1,28,125
Canada,1415,Personnel clerks,0,0,0,0,0,1,6,5
Canada,1416,Court clerks,0,0,0,0,0,0,0,0
Canada,1422,Data entry clerks,3,0,1,1,5,1,4,22
Canada,1423,Desktop publishing operators and related occupations,0,0,0,0,0,0,0,1
Canada,1431,Accounting and related clerks,4,0,0,1,4,3,13,25
Canada,1432,Payroll clerks,0,0,0,1,1,0,1,13
Canada,1434,"Banking, insurance and other financial clerks",0,0,0,0,0,0,1,6
Canada,1435,Collectors,0,0,0,0,0,0,1,0
Canada,1451,Library assistants and clerks,0,0,0,0,0,0,0,0
Canada,1452,"Correspondence, publication and regulatory clerks",0,0,0,0,0,0,0,0
Canada,1454,Survey interviewers and statistical clerks,0,0,0,0,0,0,0,0
