province_territory,2016,2017,2018,2019,2020,2021,2022,2023,region_code,region_name,noc_code,occupational_skill_type
Nova Scotia,11.0,0.0,6.0,0.0,0.0,0.0,1.0,8.0,1210,Cape Breton,7,"Trades, transport and equipment operators and related occupations"
Nova Scotia,18.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1210,Cape Breton,8,"Natural resources, agriculture and related production occupations"
Nova Scotia,38.0,94.0,73.0,56.0,155.0,187.0,312.0,230.0,1210,Cape Breton,9,Occupations in manufacturing and utilities
Nova Scotia,4.0,2.0,2.0,4.0,1.0,0.0,7.0,6.0,1220,North Shore,0,Management occupations
Nova Scotia,3.0,4.0,0.0,4.0,0.0,1.0,8.0,6.0,1220,North Shore,1,"Business, finance and administration occupations"
Nova Scotia,5.0,5.0,3.0,2.0,0.0,0.0,1.0,0.0,1220,North Shore,2,Natural and applied sciences and related occupations
Nova Scotia,8.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1220,North Shore,3,Health occupations
Nova Scotia,2.0,2.0,2.0,3.0,6.0,3.0,0.0,3.0,1220,North Shore,4,"Occupations in education, law and social, community and government services"
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1220,North Shore,5,"Occupations in art, culture, recreation and sport"
Nova Scotia,11.0,6.0,2.0,15.0,14.0,14.0,69.0,122.0,1220,North Shore,6,Sales and service occupations
Nova Scotia,12.0,4.0,18.0,0.0,0.0,10.0,20.0,27.0,1220,North Shore,7,"Trades, transport and equipment operators and related occupations"
Nova Scotia,326.0,431.0,955.0,488.0,489.0,558.0,887.0,635.0,1220,North Shore,8,"Natural resources, agriculture and related production occupations"
Nova Scotia,75.0,126.0,90.0,148.0,191.0,453.0,399.0,156.0,1220,North Shore,9,Occupations in manufacturing and utilities
Nova Scotia,3.0,1.0,2.0,0.0,1.0,3.0,1.0,3.0,1230,Annapolis Valley,0,Management occupations
Nova Scotia,0.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1230,Annapolis Valley,1,"Business, finance and administration occupations"
Nova Scotia,0.0,0.0,0.0,1.0,2.0,2.0,7.0,2.0,1230,Annapolis Valley,2,Natural and applied sciences and related occupations
Nova Scotia,2.0,0.0,7.0,1.0,2.0,1.0,1.0,0.0,1230,Annapolis Valley,3,Health occupations
Nova Scotia,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1230,Annapolis Valley,4,"Occupations in education, law and social, community and government services"
Nova Scotia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230,Annapolis Valley,5,"Occupations in art, culture, recreation and sport"
Nova Scotia,14.0,11.0,9.0,13.0,11.0,12.0,84.0,162.0,1230,Annapolis Valley,6,Sales and service occupations
Nova Scotia,16.0,37.0,35.0,21.0,3.0,45.0,64.0,30.0,1230,Annapolis Valley,7,"Trades, transport and equipment operators and related occupations"
Nova Scotia,1178.0,1318.0,1631.0,1240.0,1622.0,1667.0,1747.0,1949.0,1230,Annapolis Valley,8,"Natural resources, agriculture and related production occupations"
Nova Scotia,0.0,0.0,7.0,0.0,32.0,65.0,84.0,190.0,1230,Annapolis Valley,9,Occupations in manufacturing and utilities
Nova Scotia,1.0,4.0,0.0,1.0,1.0,2.0,3.0,1.0,1240,Southern,0,Management occupations
Nova Scotia,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,1240,Southern,1,"Business, finance and administration occupations"
Nova Scotia,3.0,0.0,2.0,0.0,0.0,2.0,6.0,1.0,1240,Southern,2,Natural and applied sciences and related occupations
Nova Scotia,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1240,Southern,3,Health occupations
Nova Scotia,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1240,Southern,4,"Occupations in education, law and social, community and government services"
Nova Scotia,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1240,Southern,5,"Occupations in art, culture, recreation and sport"
Nova Scotia,6.0,2.0,4.0,4.0,3.0,36.0,104.0,108.0,1240,Southern,6,Sales and service occupations
Nova Scotia,1.0,0.0,0.0,0.0,2.0,22.0,28.0,17.0,1240,Southern,7,"Trades, transport and equipment operators and related occupations"
Nova Scotia,86.0,115.0,105.0,197.0,165.0,159.0,201.0,238.0,1240,Southern,8,"Natural resources, agriculture and related production occupations"
Nova Scotia,52.0,104.0,83.0,178.0,208.0,489.0,571.0,401.0,1240,Southern,9,Occupations in manufacturing and utilities
Nova Scotia,39.0,47.0,39.0,36.0,34.0,38.0,41.0,37.0,1250,Halifax,0,Management occupations
Nova Scotia,7.0,3.0,6.0,2.0,4.0,14.0,34.0,60.0,1250,Halifax,1,"Business, finance and administration occupations"
Nova Scotia,101.0,39.0,29.0,40.0,32.0,97.0,139.0,70.0,1250,Halifax,2,Natural and applied sciences and related occupations
Nova Scotia,5.0,3.0,2.0,1.0,2.0,4.0,7.0,16.0,1250,Halifax,3,Health occupations
Nova Scotia,18.0,22.0,34.0,18.0,15.0,22.0,6.0,17.0,1250,Halifax,4,"Occupations in education, law and social, community and government services"
Nova Scotia,10.0,3.0,22.0,7.0,0.0,1.0,4.0,2.0,1250,Halifax,5,"Occupations in art, culture, recreation and sport"
Nova Scotia,64.0,66.0,44.0,52.0,40.0,55.0,297.0,375.0,1250,Halifax,6,Sales and service occupations
Nova Scotia,37.0,63.0,113.0,121.0,34.0,83.0,287.0,248.0,1250,Halifax,7,"Trades, transport and equipment operators and related occupations"
Nova Scotia,22.0,23.0,29.0,35.0,69.0,20.0,61.0,99.0,1250,Halifax,8,"Natural resources, agriculture and related production occupations"
Nova Scotia,11.0,0.0,6.0,0.0,14.0,3.0,58.0,27.0,1250,Halifax,9,Occupations in manufacturing and utilities
New Brunswick,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1310,Campbellton--Miramichi,0,Management occupations
