Province_Region,NOC_Code,Occupation,2016,2017,2018,2019,2020,2021,2022,2023
Canada,1431,Accounting and related clerks,4.0,0.0,0.0,1.0,4.0,3.0,13.0,25.0
Canada,1432,Payroll clerks,0.0,0.0,0.0,1.0,1.0,0.0,1.0,13.0
Canada,1434,"Banking, insurance and other financial clerks",0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
Canada,1435,Collectors,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Canada,1451,Library assistants and clerks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,1452,"Correspondence, publication and regulatory clerks",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,1454,Survey interviewers and statistical clerks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,1511,"Mail, postal and related workers",0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
Canada,1512,Letter carriers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Canada,1513,"Couriers, messengers and door-to-door distributors",0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
Canada,1521,Shippers and receivers,13.0,1.0,6.0,43.0,29.0,43.0,238.0,224.0
Canada,1522,Storekeepers and partspersons,6.0,3.0,1.0,6.0,18.0,20.0,29.0,84.0
Canada,1523,Production logistics co-ordinators,4.0,1.0,2.0,0.0,3.0,1.0,15.0,79.0
Canada,1524,Purchasing and inventory control workers,0.0,3.0,0.0,4.0,2.0,1.0,25.0,58.0
Canada,1525,Dispatchers,1.0,1.0,3.0,16.0,4.0,7.0,37.0,116.0
Canada,1526,Transportation route and crew schedulers,1.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0
Canada,2111,Physicists and astronomers,11.0,8.0,9.0,5.0,8.0,10.0,17.0,11.0
Canada,2112,Chemists,8.0,17.0,10.0,15.0,11.0,20.0,85.0,60.0
Canada,2113,Geoscientists and oceanographers,12.0,8.0,4.0,3.0,14.0,10.0,13.0,5.0
Canada,2114,Meteorologists and climatologists,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Canada,2115,Other professional occupations in physical sciences,1.0,0.0,1.0,1.0,4.0,0.0,5.0,3.0
Canada,2121,Biologists and related scientists,18.0,32.0,7.0,17.0,8.0,31.0,23.0,30.0
Canada,2122,Forestry professionals,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Canada,2123,"Agricultural representatives, consultants and specialists",5.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Canada,2131,Civil engineers,74.0,20.0,14.0,22.0,23.0,21.0,38.0,66.0
Canada,2132,Mechanical engineers,81.0,62.0,21.0,34.0,21.0,33.0,59.0,74.0
Canada,2133,Electrical and electronics engineers,77.0,65.0,28.0,26.0,21.0,24.0,48.0,104.0
Canada,2134,Chemical engineers,2.0,5.0,4.0,2.0,12.0,5.0,10.0,5.0
Canada,2141,Industrial and manufacturing engineers,11.0,6.0,9.0,10.0,13.0,12.0,30.0,47.0
Canada,2142,Metallurgical and materials engineers,6.0,2.0,1.0,6.0,2.0,5.0,10.0,8.0
Canada,2143,Mining engineers,4.0,1.0,3.0,1.0,1.0,1.0,2.0,6.0
Canada,2144,Geological engineers,6.0,1.0,1.0,2.0,0.0,1.0,7.0,5.0
Canada,2145,Petroleum engineers,21.0,9.0,0.0,1.0,1.0,10.0,14.0,12.0
